molecule_chembl_id,canonical_smiles,standard_value,standard_units,pIC50,mol,MolWt,LogP,HDonors,HAcceptors,TPSA
CHEMBL297008,Cc1ccc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccccc1,60.0,nM,7.221848749616356,<rdkit.Chem.rdchem.Mol object at 0x000001624A693300>,311.406,3.856220000000003,0,2,39.07
CHEMBL289813,Cc1c(C=O)cc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccc(F)cc1,3230.0,nM,5.490797477668897,<rdkit.Chem.rdchem.Mol object at 0x000001624A693370>,357.40600000000006,3.807820000000002,0,3,56.14
CHEMBL43736,Cc1c(COc2cccc(Cl)c2)cc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccc(F)cc1,80.0,nM,7.096910013008056,<rdkit.Chem.rdchem.Mol object at 0x000001624A6933E0>,469.96500000000015,6.227720000000005,0,3,48.300000000000004
CHEMBL140167,Fc1ccc(-c2[nH]c(-c3ccc(F)cc3)c3c2C2CCC3CC2)cc1,0.12,nM,9.920818753952377,<rdkit.Chem.rdchem.Mol object at 0x000001624A693450>,335.3970000000001,6.381700000000004,1,0,15.79
CHEMBL44194,CCc1ccc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccc(F)cc1,100000.0,nM,4.0,<rdkit.Chem.rdchem.Mol object at 0x000001624A6934C0>,343.423,4.249300000000003,0,2,39.07
CHEMBL44290,CC(=O)c1cc(-c2ccc(S(C)(=O)=O)cc2)n(-c2ccc(F)cc2)c1C,1610.0,nM,5.79317412396815,<rdkit.Chem.rdchem.Mol object at 0x000001624A693530>,371.43300000000005,4.197920000000003,0,3,56.14
CHEMBL288773,Cc1ccc(-c2ccc(S(C)(=O)=O)cc2)n1Cc1ccc(F)cc1,100000.0,nM,4.0,<rdkit.Chem.rdchem.Mol object at 0x000001624A6935A0>,343.423,4.054420000000003,0,2,39.07
CHEMBL44068,Cc1ccc(-c2ccc(S(C)(=O)=O)cc2)[nH]1,100000.0,nM,4.0,<rdkit.Chem.rdchem.Mol object at 0x000001624A693610>,235.308,2.3936200000000003,1,2,49.93
CHEMBL44367,CS(=O)(=O)c1ccc(-n2cccc2-c2ccc(F)cc2)cc1Cl,100000.0,nM,4.0,<rdkit.Chem.rdchem.Mol object at 0x000001624A693680>,349.8140000000001,4.340300000000003,0,2,39.07
CHEMBL297409,CCCCn1c(C)ccc1-c1ccc(S(C)(=O)=O)cc1,100000.0,nM,4.0,<rdkit.Chem.rdchem.Mol object at 0x000001624A6936F0>,291.416,3.6671200000000024,0,2,39.07
CHEMBL43737,Cc1ccc(-n2c(C)ccc2-c2ccc(S(C)(=O)=O)cc2)cc1,40.0,nM,7.397940008672037,<rdkit.Chem.rdchem.Mol object at 0x000001624A693760>,325.43300000000005,4.164640000000003,0,2,39.07
CHEMBL43511,NS(=O)(=O)c1ccc(-n2cccc2-c2ccc(F)cc2)cc1,14.0,nM,7.853871964321762,<rdkit.Chem.rdchem.Mol object at 0x000001624A6937D0>,316.357,2.9308000000000014,1,2,65.09
CHEMBL42801,Cc1c(CN(C)C)cc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccc(F)cc1,100000.0,nM,4.0,<rdkit.Chem.rdchem.Mol object at 0x000001624A693840>,386.492,4.056920000000003,0,3,42.31
CHEMBL1316,CC(C(=O)O)c1ccc2c(c1)[nH]c1ccc(Cl)cc12,102.0,nM,6.991399828238082,<rdkit.Chem.rdchem.Mol object at 0x000001624A6938B0>,273.719,4.162600000000002,2,1,53.089999999999996
CHEMBL40245,Cc1c(Br)cc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccc(F)cc1,20.0,nM,7.698970004336019,<rdkit.Chem.rdchem.Mol object at 0x000001624A693920>,408.29200000000014,4.757820000000003,0,2,39.07
CHEMBL43210,CS(=O)(=O)c1ccc(-c2cccn2-c2ccc(F)cc2)cc1,10200.0,nM,4.991399828238082,<rdkit.Chem.rdchem.Mol object at 0x000001624A693990>,315.369,3.6869000000000023,0,2,39.07
CHEMBL298231,CS(=O)(=O)c1ccc(-c2ccc(CCC(=O)O)n2-c2ccc(F)cc2)cc1,100000.0,nM,4.0,<rdkit.Chem.rdchem.Mol object at 0x000001624A693A00>,387.432,3.704100000000002,1,3,76.37
CHEMBL44101,Cc1c(CO)cc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccc(F)cc1,3880.0,nM,5.411168274405793,<rdkit.Chem.rdchem.Mol object at 0x000001624A693A70>,359.422,3.4876200000000024,1,3,59.3
CHEMBL44152,Cc1c(COc2ccc(Cl)cc2)cc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccc(F)cc1,30.0,nM,7.522878745280337,<rdkit.Chem.rdchem.Mol object at 0x000001624A693AE0>,469.96500000000015,6.227720000000005,0,3,48.300000000000004
CHEMBL43664,COc1ccc(-c2ccc(CCC(=O)O)n2-c2ccc(C(C)=O)cc2)cc1,4600.0,nM,5.337242168318426,<rdkit.Chem.rdchem.Mol object at 0x000001624A693B50>,363.41300000000007,4.372700000000003,1,3,68.53
CHEMBL298208,Cc1ccc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccc(F)c(F)c1,250.0,nM,6.6020599913279625,<rdkit.Chem.rdchem.Mol object at 0x000001624A693BC0>,347.386,4.134420000000003,0,2,39.07
CHEMBL43002,Cc1ccc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccc(F)cc1,60.0,nM,7.221848749616356,<rdkit.Chem.rdchem.Mol object at 0x000001624A693C30>,329.396,3.995320000000003,0,2,39.07
CHEMBL42121,CCS(=O)(=O)c1ccc(-n2cccc2-c2ccc(F)cc2)cc1,100000.0,nM,4.0,<rdkit.Chem.rdchem.Mol object at 0x000001624A693CA0>,329.396,4.077000000000003,0,2,39.07
CHEMBL42409,Cc1c(C(=O)C(F)(F)F)cc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccc(F)cc1,120.0,nM,6.920818753952375,<rdkit.Chem.rdchem.Mol object at 0x000001624A693D10>,425.40300000000013,4.740320000000003,0,3,56.14
CHEMBL43957,CS(=O)(=O)c1ccc(-n2cccc2-c2ccc(F)cc2)cc1,510.0,nM,6.292429823902063,<rdkit.Chem.rdchem.Mol object at 0x000001624A693D80>,315.369,3.6869000000000023,0,2,39.07
CHEMBL43366,Cc1c(C#N)cc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccc(F)cc1,750.0,nM,6.1249387366083,<rdkit.Chem.rdchem.Mol object at 0x000001624A693DF0>,354.406,3.8670000000000027,0,3,62.86
CHEMBL296307,Cc1ccc(-c2ccc(F)cc2)n1-c1ccc(S(C)(=O)=O)cc1,100000.0,nM,4.0,<rdkit.Chem.rdchem.Mol object at 0x000001624A693E60>,329.3960000000001,3.995320000000003,0,2,39.07
CHEMBL43864,Cc1ccc(-c2ccc(S(C)(=O)=O)cc2)n1C1CCCCC1,520.0,nM,6.2839966563652006,<rdkit.Chem.rdchem.Mol object at 0x000001624A693ED0>,317.4540000000002,4.372220000000004,0,2,39.07
CHEMBL44244,Cc1c(S(=O)(=O)C(F)(F)F)cc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccc(F)cc1,60.0,nM,7.221848749616356,<rdkit.Chem.rdchem.Mol object at 0x000001624A693F40>,461.4580000000001,4.288820000000003,0,4,73.21000000000001
CHEMBL44313,Cc1c(C(=O)c2ccccc2)cc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccc(F)cc1,1020.0,nM,5.991399828238082,<rdkit.Chem.rdchem.Mol object at 0x000001624A6AC040>,433.50400000000013,5.226320000000004,0,3,56.14
CHEMBL44362,Cc1c(C(O)C(F)(F)F)cc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccc(F)cc1,1440.0,nM,5.841637507904751,<rdkit.Chem.rdchem.Mol object at 0x000001624A6AC0B0>,427.41900000000015,4.591020000000003,1,3,59.3
CHEMBL42085,Cc1ccc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccc(C(F)(F)F)cc1,80.0,nM,7.096910013008056,<rdkit.Chem.rdchem.Mol object at 0x000001624A6AC120>,379.403,4.875020000000004,0,2,39.07
CHEMBL43647,Cc1c(C(Oc2cccc(Cl)c2)C(F)(F)F)cc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccc(F)cc1,100000.0,nM,4.0,<rdkit.Chem.rdchem.Mol object at 0x000001624A6AC190>,537.9620000000002,7.3311200000000065,0,3,48.300000000000004
CHEMBL143776,Fc1ccc(-c2[nH]c(-c3ccc(F)cc3)c3c2C2CCC3C2)cc1,0.08,nM,10.096910013008056,<rdkit.Chem.rdchem.Mol object at 0x000001624A6AC200>,321.37000000000006,5.991600000000004,1,0,15.79
CHEMBL297820,CC(=O)c1ccc(-n2c(C)ccc2-c2ccc(S(C)(=O)=O)cc2)cc1,2870.0,nM,5.542118103266008,<rdkit.Chem.rdchem.Mol object at 0x000001624A6AC270>,353.4430000000001,4.058820000000003,0,3,56.14
CHEMBL42120,O=S(=O)(c1ccccc1)c1ccc(-n2cccc2-c2ccc(F)cc2)cc1,100000.0,nM,4.0,<rdkit.Chem.rdchem.Mol object at 0x000001624A6AC2E0>,377.44000000000005,5.116200000000004,0,2,39.07
CHEMBL44283,Cc1c(Cl)cc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccc(F)cc1,50.0,nM,7.301029995663981,<rdkit.Chem.rdchem.Mol object at 0x000001624A6AC350>,363.84100000000007,4.648720000000003,0,2,39.07
CHEMBL44038,Cc1c(CC(F)(F)F)cc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccc(F)cc1,140.0,nM,6.853871964321762,<rdkit.Chem.rdchem.Mol object at 0x000001624A6AC3C0>,411.42000000000013,5.100120000000004,0,2,39.07
